id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_7d_in_currency,roi.times,roi.currency,roi.percentage,is_roi_missing,price_spread_percentage,volume_mcap_ratio,is_suspicious,log_volume,log_mcap,ai_prediction,risk_score
illuvium,ilv,Illuvium,https://coin-images.coingecko.com/coins/images/14468/large/logo-200x200.png?1696514154,-0.06337921437508448,36367639.0,0.6872003838324795,36795913,11759716,3.94,3.53,0.293688,8.2804,2693318.0,7.99814,9485418.245366538,9597120.748092916,1000000000.0,1911.26,-99.79982,2021-11-30T15:18:57.382Z,3.31,15.45966,2026-02-06T00:30:47.707Z,,2026-03-09T13:16:46.799Z,0.6774853299729228,8.280403743029922,7.702408312182736,0.7354250522657468,,73.54250522657468,1,0.10230352704589983,0.3233565884396128,0,-0.8776842243019927,-0.4762580706358236,0,1.6404164e-06
world-mobile-token,wmtx,World Mobile Token,https://coin-images.coingecko.com/coins/images/17333/large/Token_icon_round_1024.png?1741247846,-0.06337929126477287,54908363.0,0.28604735613888455,131768925,11749327,0.066137,0.064821,0.00034843,0.53067,89405.0,0.16309,833403824.728708,2000000000.0,2000000000.0,0.979732,-93.25279,2022-02-17T07:00:01.257Z,0.04603633,43.59212,2025-12-27T11:51:54.929Z,,2026-03-09T13:16:46.047Z,0.2749439173244708,0.5306699496757784,-3.1298216612312655,0.7354250522657468,,73.54250522657468,1,-0.37146334530437775,0.21398064236625225,0,-0.8783257973127829,-0.3474337831790858,0,4.736435e-07
tezos,xtz,Tezos,https://coin-images.coingecko.com/coins/images/976/large/Tezos-logo.png?1696502091,-0.06337928510486651,396298866.0,-0.5667534859509955,403669820,11604027,0.36825,0.357587,0.00411369,1.12939,2473946.0,0.62818,1077896832.525707,1097945156.895723,1000000000.0,9.12,-95.96916,2021-10-04T00:41:18.025Z,0.350476,4.84417,2018-12-07T00:00:00.000Z,,2026-03-09T13:16:53.925Z,0.4907376964259455,1.1293884737232436,-0.255070526321966,-0.21626698691102042,usd,-21.626698691102042,1,-0.32441917794902725,0.029280999685522693,0,-0.8873587392242795,0.2706002956688959,0,2.719837e-08
moo-deng,moodeng,Moo Deng,https://coin-images.coingecko.com/coins/images/50264/large/MOODENG.jpg?1726726975,-0.06337929162379317,47898306.0,0.4038685251118285,47898306,11530369,0.04833876,0.04594469,0.00153002,3.26543,1599049.0,3.45373,989938583.323517,989938583.323517,1000000000.0,0.680378,-92.94115,2024-11-15T14:06:28.269Z,0.01544782,210.8974,2024-09-20T13:55:20.098Z,,2026-03-09T13:16:46.288Z,1.5457553002269027,3.2654303174305497,-0.19317960620024274,0.7354250522657468,,73.54250522657468,1,-0.21424704478332604,0.2407260239907853,0,-0.891981170745282,-0.3901428063861598,0,7.836407e-08
book-of-meme,bome,BOOK OF MEME,https://coin-images.coingecko.com/coins/images/36071/large/bome.png?1710407255,-0.06337929260163298,26872555.0,1.0098059655441116,26872555,11424184,0.00039548,0.0003745,9.7e-06,2.55213,652332.0,2.4879,68999659569.0,68999659569.0,68999659569.0,0.02688878,-98.55718,2024-03-16T13:51:17.648Z,5.848e-05,563.36943,2024-03-14T10:17:29.365Z,,2026-03-09T13:16:47.447Z,0.6638839082050076,2.552126258986808,2.9148246245108287,0.7354250522657468,,73.54250522657468,1,-0.19490216388329606,0.42512457691036165,0,-0.8986970780022919,-0.5708700898451295,0,1.3363156e-07
kindred-labs,kin,Kindred Labs,https://coin-images.coingecko.com/coins/images/102171798/large/kindred-labs.jpg?1769759004,-0.06337929194043951,4842229.0,3.697250724498405,32898373,11307139,0.03520198,0.03200761,-0.00043966265482006,-1.32099,-54784.264324738644,-1.11873,147187500.0,1000000000.0,1000000000.0,0.11089,-70.27261,2026-01-30T11:30:10.259Z,0.01502209,119.44254,2026-02-14T16:25:41.639Z,,2026-03-09T13:16:52.885Z,-2.452231969942986,-1.3209915040367357,31.89648039524578,0.7354250522657468,,73.54250522657468,1,0.02149973805009159,2.335109856409134,0,-0.9061725608897538,-1.106737569027763,0,0.0031273463
humidifi,wet,HumidiFi,https://coin-images.coingecko.com/coins/images/70397/large/720oatTU_400x400.jpg?1765007223,-0.06337929045366054,24363118.0,1.166900857508037,105926599,11166378,0.112009,0.104351,0.00117576,1.12359,159890.0,0.66061,230000000.0,1000000000.0,1000000000.0,0.333169,-68.21492,2025-12-10T12:07:09.323Z,0.06229,70.00832,2026-02-06T00:31:10.121Z,,2026-03-09T13:16:47.634Z,0.9318945297068426,1.1235887539923364,-0.9550442576320352,0.7354250522657468,,73.54250522657468,1,-0.10906271029207613,0.45833121777224006,0,-0.9152659178605046,-0.6015247439485977,0,3.5846355e-08
bianrensheng,币安人生,币安人生 (BinanceLife),https://coin-images.coingecko.com/coins/images/69848/large/%E5%B8%81%E5%AE%89%E4%BA%BA%E7%94%9F.png?1759839225,-0.06337929132167625,63171588.0,0.18225251680557678,63171588,11132832,0.063227,0.058789,0.00409936,6.93462,3747458.0,6.30629,1000000000.0,1000000000.0,1000000000.0,0.510761,-87.66423,2025-10-08T04:16:54.033Z,0.053159,18.52402,2026-02-23T18:20:15.541Z,,2026-03-09T13:16:45.815Z,0.9682422128715529,6.934619495441228,-0.7022326756614038,0.7354250522657468,,73.54250522657468,1,-0.09866563025127502,0.1762316284303059,0,-0.9174499491333686,-0.30359799626111816,0,1.283618e-09
constitutiondao,people,ConstitutionDAO,https://coin-images.coingecko.com/coins/images/20612/large/GN_UVm3d_400x400.jpg?1696520017,-0.06337929245863379,37489074.0,0.6591477245532071,37489074,11116896,0.00739687,0.00665985,0.0006228,9.17819,3073145.0,8.92943,5066434892.014004,5066434892.014004,1000000000.0,0.185022,-96.02335,2021-12-23T05:59:19.861Z,0.0009194,700.27021,2021-11-21T11:33:21.508Z,,2026-03-09T13:16:46.735Z,0.9926299334871072,9.178188352891155,19.291804662675176,0.7354250522657468,,73.54250522657468,1,0.07520988917966341,0.29653695109842,0,-0.9184897781898449,-0.46676159520316135,0,3.783948e-09
lobster-2,龙虾,龙虾 (Lobster),https://coin-images.coingecko.com/coins/images/102172215/large/bvnt2zqtx33e6at5pm5marta4070.?1772252895,-0.06337929244212284,8365851.0,2.6564970652374,8365851,11007798,0.0092852,0.00240704,0.00581185,241.45242,5886980.0,237.48628,1000000000.0,1000000000.0,1000000000.0,0.0092852,-10.45786,2026-03-09T08:41:03.906Z,0.00145753,470.4295,2026-02-28T17:08:30.607Z,,2026-03-09T13:16:50.434Z,-4.080494265954051,241.45241587697805,142.7677594403218,0.7354250522657468,,73.54250522657468,1,13.653001959736354,1.315801187972247,0,-0.9256487441250829,-0.93576366886572,0,6.8549553e-09
